time,NorESM2-MM_r1i1p1f1_ssp585,NorESM2-MM_r1i1p1f1_ssp370,NorESM2-MM_r1i1p1f1_ssp245,NorESM2-MM_r2i1p1f1_ssp245,CESM2_r10i1p1f1_ssp585,CESM2_r10i1p1f1_ssp370,CESM2_r10i1p1f1_ssp245,CESM2_r11i1p1f1_ssp585,CESM2_r11i1p1f1_ssp370,CESM2_r11i1p1f1_ssp245,CESM2_r4i1p1f1_ssp585,CESM2_r4i1p1f1_ssp370,CESM2_r4i1p1f1_ssp245,CESM2-LENS_r10i1181p1f1_ssp370,CESM2-LENS_r1i1001p1f1_ssp370,CESM2-LENS_r2i1021p1f1_ssp370,CESM2-LENS_r3i1041p1f1_ssp370,CESM2-LENS_r4i1061p1f1_ssp370,CESM2-LENS_r5i1081p1f1_ssp370,CESM2-LENS_r6i1101p1f1_ssp370,CESM2-LENS_r7i1121p1f1_ssp370,CESM2-LENS_r8i1141p1f1_ssp370,CESM2-LENS_r9i1161p1f1_ssp370
1984-11-16 00:00:00,0.175207861121104,0.175207861121104,0.175207861121104,0.3553883083306687,0.4582827685149579,0.4582827685149579,0.4582827685149579,0.2946116113678651,0.2946116113678651,0.2946116113678651,0.5481028745612562,0.5481028745612562,0.5481028745612562,0.34034823906309813,0.4503424240218924,0.24253460912124916,0.3637541979346722,0.24228646149663882,0.46510464302677856,0.3254486921230326,0.4974717156024198,0.20906728395880947,0.49647296110458894
1984-12-16 12:00:00,0.17655167655906964,0.17655167655906964,0.17655167655906964,0.35764395025992807,0.45953615631834455,0.45953615631834455,0.45953615631834455,0.29573203479607363,0.29573203479607363,0.29573203479607363,0.5496966069050709,0.5496966069050709,0.5496966069050709,0.34071504639001254,0.45206027931717185,0.24418721607928998,0.36320083287124233,0.24239526437469577,0.46659545738538905,0.32823476538107266,0.500415370456368,0.21260895759030946,0.4975854637624238
1985-01-16 12:00:00,0.17723170458324353,0.17723170458324353,0.17723170458324353,0.3603415673179228,0.4606681083424225,0.4606681083424225,0.4606681083424225,0.2981645161229624,0.2981645161229624,0.2981645161229624,0.5498206645702645,0.5498206645702645,0.5498206645702645,0.3401129859464367,0.4535739196840488,0.2449321957932194,0.36285329554850565,0.24306455270570262,0.46626887484965757,0.331688470736587,0.5041778737553043,0.21697199148707066,0.4985080665123443
1985-02-15 00:00:00,0.17836059634613596,0.17836059634613596,0.17836059634613596,0.36140207748246383,0.46190230615500977,0.46190230615500977,0.46190230615500977,0.2995031868457225,0.2995031868457225,0.2995031868457225,0.5493148866730813,0.5493148866730813,0.5493148866730813,0.34113362219515414,0.45497368981865854,0.24629659315209623,0.36110056796005,0.24340320258218734,0.46447262800301464,0.3356207133538151,0.5077654173612347,0.21768663071488253,0.4984170161912905
1985-03-16 12:00:00,0.18150680046049625,0.18150680046049625,0.18150680046049625,0.361951457802725,0.4625501706477588,0.4625501706477588,0.4625501706477588,0.30149645173944106,0.30149645173944106,0.30149645173944106,0.551661186652084,0.551661186652084,0.551661186652084,0.3397334614142364,0.4576820486666444,0.24787522743158755,0.3590457856747454,0.24490419505662306,0.46550260034531615,0.3377506433095777,0.510610314406271,0.21921235339824746,0.5011269659851467
1985-04-16 00:00:00,0.18396983102819675,0.18396983102819675,0.18396983102819675,0.36395884470699497,0.4633162647664965,0.4633162647664965,0.4633162647664965,0.30164114511574597,0.30164114511574597,0.30164114511574597,0.5529373686116422,0.5529373686116422,0.5529373686116422,0.3390962814789366,0.4626333103902022,0.2491824369308939,0.3576550386780942,0.2448044813808539,0.4656362794581251,0.34182550058648525,0.5144560217752807,0.22212526096727198,0.5024257867715692
1985-05-16 12:00:00,0.18540176253744722,0.18540176253744722,0.18540176253744722,0.3666327419757304,0.4652951785287468,0.4652951785287468,0.4652951785287468,0.30089501908713767,0.30089501908713767,0.30089501908713767,0.5557444928727413,0.5557444928727413,0.5557444928727413,0.3382905851420965,0.46503501620837656,0.25226472177209375,0.3576914487919327,0.2451614677208802,0.4653393774140362,0.3465771040778615,0.5175930561838261,0.2226190390457262,0.5031837523273962
1985-06-16 00:00:00,0.18571352307335356,0.18571352307335356,0.18571352307335356,0.36878141162963207,0.4657370654522412,0.4657370654522412,0.4657370654522412,0.3016803222731054,0.3016803222731054,0.3016803222731054,0.5569360964329426,0.5569360964329426,0.5569360964329426,0.33812515028376566,0.46736721746191423,0.25499072057778727,0.35752181960328927,0.24561392205096885,0.4661967595794977,0.34973045103141964,0.5206852871125079,0.2249085816091821,0.5034417678927473
1985-07-16 12:00:00,0.18654966795469813,0.18654966795469813,0.18654966795469813,0.37075066571226856,0.467054937799449,0.467054937799449,0.467054937799449,0.3041532618369127,0.3041532618369127,0.3041532618369127,0.5587729752206871,0.5587729752206871,0.5587729752206871,0.3377799565690109,0.47058288521252745,0.2571073799420347,0.3586495053384115,0.24636181244778374,0.4667772023430551,0.3519928575261735,0.5240562120685358,0.2263035413378044,0.5049792608597241
1985-08-16 12:00:00,0.18818267141606312,0.18818267141606312,0.18818267141606312,0.3731957875745986,0.4685214764848072,0.4685214764848072,0.4685214764848072,0.3057339939008905,0.3057339939008905,0.3057339939008905,0.5603719046371298,0.5603719046371298,0.5603719046371298,0.3390523845417801,0.4716278478141547,0.2589622763126966,0.35958069817298344,0.24599217633596357,0.46864244977661873,0.35384578745750495,0.5272074791274979,0.22942927242152772,0.5071218457327572
1985-09-16 00:00:00,0.1898294937133116,0.1898294937133116,0.1898294937133116,0.3746308060512033,0.47046253980327063,0.47046253980327063,0.47046253980327063,0.30670668040356525,0.30670668040356525,0.30670668040356525,0.5619261044717437,0.5619261044717437,0.5619261044717437,0.3404187938158145,0.4730261552961589,0.26100166307763906,0.3597235218552226,0.2470173046207665,0.4696963440823479,0.356454738375952,0.5298437363304215,0.23190775992551166,0.509584834233208
1985-10-16 12:00:00,0.19115323260251765,0.19115323260251765,0.19115323260251765,0.3762876591264648,0.4721170701950797,0.4721170701950797,0.4721170701950797,0.3062431234316522,0.3062431234316522,0.3062431234316522,0.56329423026515,0.56329423026515,0.56329423026515,0.3409083050380997,0.47501367009480544,0.26334657374181847,0.36114078986310244,0.24945056849499353,0.47093495944945,0.35889896574484015,0.5333553753575918,0.23463606183436359,0.5114303484204406
1985-11-16 00:00:00,0.1934328981692019,0.1934328981692019,0.1934328981692019,0.37880629847162195,0.47411870243966564,0.47411870243966564,0.47411870243966564,0.30682577600669797,0.30682577600669797,0.30682577600669797,0.5647500419886679,0.5647500419886679,0.5647500419886679,0.34158151473825527,0.47814148283980723,0.2666597528224017,0.36227574678475655,0.25069416187314647,0.4721185985933746,0.36118299673851245,0.5363798019412284,0.2366767100499331,0.5131776129706367
