GCM,run,scenario,Unnamed: 0,0.8,1.0,1.2,1.5,2.0,2.5,3.0,4.0
CAS-ESM2-0,r1i1p1f1,ssp245,89,2010-09-16 00:00:00,2016-08-16 12:00:00,2021-09-16 00:00:00,2034-12-16 12:00:00,2049-07-16 12:00:00,2061-08-16 12:00:00,2074-02-15 00:00:00,
CESM2,r11i1p1f1,ssp585,90,2005-02-14 00:00:00,2010-10-15 12:00:00,2016-12-15 12:00:00,2024-07-15 12:00:00,2035-11-15 00:00:00,2045-10-15 12:00:00,2054-01-15 12:00:00,2069-06-15 00:00:00
CESM2,r11i1p1f1,ssp370,91,2005-02-14 00:00:00,2010-02-14 00:00:00,2016-10-15 12:00:00,2026-07-15 12:00:00,2043-04-15 00:00:00,2054-07-15 12:00:00,2067-01-15 12:00:00,2086-02-14 00:00:00
CESM2,r11i1p1f1,ssp245,92,2005-02-14 00:00:00,2011-03-15 12:00:00,2019-05-15 12:00:00,2028-02-14 00:00:00,2039-05-15 12:00:00,2059-12-15 12:00:00,2077-08-15 12:00:00,
CESM2,r4i1p1f1,ssp585,93,1997-07-15 12:00:00,2004-06-15 00:00:00,2011-04-15 00:00:00,2020-04-15 00:00:00,2030-09-15 00:00:00,2042-07-15 12:00:00,2051-10-15 12:00:00,2067-09-15 00:00:00
CESM2,r4i1p1f1,ssp370,94,1997-07-15 12:00:00,2004-06-15 00:00:00,2011-09-15 00:00:00,2026-06-15 00:00:00,2039-09-15 00:00:00,2050-03-15 12:00:00,2062-06-15 00:00:00,2083-07-15 12:00:00
CESM2,r4i1p1f1,ssp245,95,1997-07-15 12:00:00,2004-06-15 00:00:00,2013-06-15 00:00:00,2024-07-15 12:00:00,2037-06-15 00:00:00,2054-03-15 12:00:00,2070-09-15 00:00:00,
CESM2,r10i1p1f1,ssp585,96,1997-04-15 00:00:00,2003-10-15 12:00:00,2011-01-15 12:00:00,2022-11-15 00:00:00,2032-08-15 12:00:00,2041-07-15 12:00:00,2050-09-15 00:00:00,2066-11-15 00:00:00
CESM2,r10i1p1f1,ssp370,97,1997-04-15 00:00:00,2003-10-15 12:00:00,2010-04-15 00:00:00,2024-05-15 12:00:00,2039-01-15 12:00:00,2051-11-15 00:00:00,2065-01-15 12:00:00,2084-10-15 12:00:00
CESM2,r10i1p1f1,ssp245,98,1997-04-15 00:00:00,2003-10-15 12:00:00,2012-08-15 12:00:00,2024-03-15 12:00:00,2038-10-15 12:00:00,2051-07-15 12:00:00,2071-02-14 00:00:00,
CESM2-WACCM,r3i1p1f1,ssp585,99,1997-04-15 00:00:00,2002-09-15 00:00:00,2007-07-15 12:00:00,2017-11-15 00:00:00,2033-08-15 12:00:00,2043-11-15 00:00:00,2052-05-15 12:00:00,2068-07-15 12:00:00
CESM2-WACCM,r3i1p1f1,ssp370,100,1997-04-15 00:00:00,2002-09-15 00:00:00,2007-08-15 12:00:00,2019-11-15 00:00:00,2039-02-14 00:00:00,,,
CESM2-WACCM,r3i1p1f1,ssp245,101,1997-04-15 00:00:00,2002-09-15 00:00:00,2007-12-15 12:00:00,2019-02-14 00:00:00,2035-11-15 00:00:00,2049-06-15 00:00:00,2071-06-15 00:00:00,
CESM2-WACCM,r2i1p1f1,ssp585,102,1995-05-15 12:00:00,2002-01-15 12:00:00,2007-01-15 12:00:00,2019-01-15 12:00:00,2029-11-15 00:00:00,2040-05-15 12:00:00,2050-07-15 12:00:00,2065-10-15 12:00:00
CESM2-WACCM,r2i1p1f1,ssp370,103,1995-05-15 12:00:00,2002-01-15 12:00:00,2007-05-15 12:00:00,2024-09-15 00:00:00,2040-10-15 12:00:00,,,
CESM2-WACCM,r2i1p1f1,ssp245,104,1995-05-15 12:00:00,2002-01-15 12:00:00,2007-03-15 12:00:00,2019-07-15 12:00:00,2038-11-15 00:00:00,2052-04-15 00:00:00,2069-06-15 00:00:00,
CESM2-WACCM,r1i1p1f1,ssp585,105,1998-01-15 12:00:00,2003-09-15 00:00:00,2008-08-15 12:00:00,2017-07-15 12:00:00,2030-12-15 12:00:00,2040-12-15 12:00:00,2049-12-15 12:00:00,2064-10-15 12:00:00
CESM2-WACCM,r1i1p1f1,ssp370,106,1998-01-15 12:00:00,2003-09-15 00:00:00,2008-09-15 00:00:00,2021-02-14 00:00:00,2036-12-15 12:00:00,2048-05-15 12:00:00,2059-06-15 00:00:00,2080-02-14 00:00:00
CESM2-WACCM,r1i1p1f1,ssp245,107,1998-01-15 12:00:00,2003-09-15 00:00:00,2008-08-15 12:00:00,2019-12-15 12:00:00,2035-08-15 12:00:00,2048-12-15 12:00:00,2068-08-15 12:00:00,
CIESM,r1i1p1f1,ssp585,108,1981-12-16 12:00:00,1992-12-16 12:00:00,2002-11-16 00:00:00,2014-06-16 00:00:00,2027-11-16 00:00:00,2039-03-16 12:00:00,2047-05-16 12:00:00,2060-04-16 00:00:00
CIESM,r1i1p1f1,ssp245,109,1981-12-16 12:00:00,1992-12-16 12:00:00,2002-11-16 00:00:00,2012-10-16 12:00:00,2024-03-16 12:00:00,2040-03-16 12:00:00,2056-01-16 12:00:00,
