GCM,run,scenario,1.5,2.0,2.5,3.0,4.0
CMCC-ESM2,r1i1p1f1,ssp585,2043-06-16 00:00:00,2051-03-16 12:00:00,2057-04-16 00:00:00,2064-05-16 12:00:00,2079-08-16 12:00:00
CMCC-ESM2,r1i1p1f1,ssp370,2045-11-16 00:00:00,2055-12-16 12:00:00,2067-03-16 12:00:00,2079-06-16 00:00:00,
CMCC-ESM2,r1i1p1f1,ssp245,2045-03-16 12:00:00,2055-06-16 00:00:00,2068-10-16 12:00:00,2090-08-16 12:00:00,
CNRM-CM6-1,r1i1p1f2,ssp585,2043-02-15 00:00:00,2051-11-16 00:00:00,2058-11-16 00:00:00,2065-10-16 12:00:00,2077-09-16 00:00:00
CNRM-CM6-1,r1i1p1f2,ssp370,2047-12-16 12:00:00,2058-04-16 00:00:00,2067-03-16 12:00:00,2075-03-16 12:00:00,2090-04-16 00:00:00
CNRM-CM6-1,r1i1p1f2,ssp245,2051-05-16 12:00:00,2068-02-15 12:00:00,2084-12-16 12:00:00,,
CNRM-CM6-1,r2i1p1f2,ssp585,2040-05-16 12:00:00,2048-10-16 12:00:00,2056-11-16 00:00:00,2062-05-16 12:00:00,2073-06-16 00:00:00
CNRM-CM6-1,r2i1p1f2,ssp370,2042-10-16 12:00:00,2055-01-16 12:00:00,2064-06-16 00:00:00,2072-03-16 12:00:00,2087-10-16 12:00:00
CNRM-CM6-1,r2i1p1f2,ssp245,2045-07-16 12:00:00,2059-08-16 12:00:00,2073-03-16 12:00:00,2088-07-16 12:00:00,
CNRM-CM6-1,r8i1p1f2,ssp245,,,,,
CNRM-CM6-1,r4i1p1f2,ssp585,2040-12-16 12:00:00,2050-08-16 12:00:00,2058-09-16 00:00:00,2065-02-15 00:00:00,2076-02-15 12:00:00
CNRM-CM6-1,r4i1p1f2,ssp370,2048-11-16 00:00:00,2058-07-16 12:00:00,2067-04-16 00:00:00,2074-11-16 00:00:00,2090-11-16 00:00:00
CNRM-CM6-1,r4i1p1f2,ssp245,2050-02-15 00:00:00,2066-04-16 00:00:00,2080-03-16 12:00:00,,
CNRM-CM6-1,r5i1p1f2,ssp585,2042-08-16 12:00:00,2051-10-16 12:00:00,2058-11-16 00:00:00,2065-02-15 00:00:00,2077-01-16 12:00:00
CNRM-CM6-1,r5i1p1f2,ssp370,2048-03-16 12:00:00,2060-01-16 12:00:00,2069-04-16 00:00:00,2076-07-16 12:00:00,2089-03-16 12:00:00
CNRM-CM6-1,r5i1p1f2,ssp245,2052-01-16 12:00:00,2065-06-16 00:00:00,2080-03-16 12:00:00,,
CNRM-CM6-1,r10i1p1f2,ssp245,,,,,
CNRM-CM6-1,r6i1p1f2,ssp585,2038-02-15 00:00:00,2048-05-16 12:00:00,2057-04-16 00:00:00,2064-05-16 12:00:00,2075-10-16 12:00:00
CNRM-CM6-1,r6i1p1f2,ssp370,2043-01-16 12:00:00,2055-08-16 12:00:00,2065-03-16 12:00:00,2073-09-16 00:00:00,2089-03-16 12:00:00
CNRM-CM6-1,r6i1p1f2,ssp245,2044-04-16 00:00:00,2060-10-16 12:00:00,2079-02-15 00:00:00,,
CNRM-CM6-1,r3i1p1f2,ssp585,2040-03-16 12:00:00,2050-05-16 12:00:00,2058-02-15 00:00:00,2064-08-16 12:00:00,2075-11-16 00:00:00
CNRM-CM6-1,r3i1p1f2,ssp370,2046-09-16 00:00:00,2056-09-16 00:00:00,2065-08-16 12:00:00,2074-02-15 00:00:00,2089-04-16 00:00:00
CNRM-CM6-1,r3i1p1f2,ssp245,2048-07-16 12:00:00,2063-03-16 12:00:00,2080-06-16 00:00:00,,
CNRM-CM6-1,r7i1p1f2,ssp245,,,,,
CNRM-CM6-1,r9i1p1f2,ssp245,,,,,
CNRM-CM6-1-HR,r1i1p1f2,ssp585,2035-01-16 12:00:00,2045-09-16 00:00:00,2053-10-16 12:00:00,2061-01-16 12:00:00,2074-12-16 12:00:00
CNRM-CM6-1-HR,r1i1p1f2,ssp370,2037-12-16 12:00:00,2050-11-16 00:00:00,2060-12-16 12:00:00,2069-05-16 12:00:00,2087-06-16 00:00:00
CNRM-CM6-1-HR,r1i1p1f2,ssp245,2039-12-16 12:00:00,2052-01-16 12:00:00,2067-03-16 12:00:00,2080-11-16 00:00:00,
CNRM-ESM2-1,r1i1p1f2,ssp585,2043-01-16 12:00:00,2053-10-16 12:00:00,2062-02-15 00:00:00,2069-09-16 00:00:00,2081-10-16 12:00:00
CNRM-ESM2-1,r1i1p1f2,ssp370,2050-04-16 00:00:00,2061-04-16 00:00:00,2069-07-16 12:00:00,2077-10-16 12:00:00,
CNRM-ESM2-1,r1i1p1f2,ssp245,2052-09-16 00:00:00,2068-10-16 12:00:00,2081-12-16 12:00:00,,
CNRM-ESM2-1,r2i1p1f2,ssp585,2046-04-16 00:00:00,2054-04-16 00:00:00,2062-06-16 00:00:00,2069-03-16 12:00:00,2081-12-16 12:00:00
CNRM-ESM2-1,r2i1p1f2,ssp370,2049-11-16 00:00:00,2059-02-15 00:00:00,2068-04-16 00:00:00,2077-04-16 00:00:00,
