era-id,latitude,longitude,elevation,start-date,end-date,network,total_nobs
ASOSAWOS_72367823052,36.741,-104.502,NaN,1973-01-01 00:00:00+00:00,1981-04-02 00:00:00+00:00,ASOSAWOS,12
ASOSAWOS_72370093167,35.257,-113.934,1043.3304,1999-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,257682
ASOSAWOS_72371003162,36.921,-111.449,1306.9824,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,183888
ASOSAWOS_72372123184,34.652,-112.421,NaN,1973-01-01 00:00:00+00:00,1990-02-28 00:00:00+00:00,ASOSAWOS,98717
ASOSAWOS_72372323184,34.649,-112.422,1527.9624,1990-02-28 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,375357
ASOSAWOS_72374023194,35.028,-110.722,1489.2528,1973-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,467157
ASOSAWOS_72374500374,34.257,-111.339,1572.1584,2010-01-15 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,322590
ASOSAWOS_72375003103,35.144,-111.666,2133.2952,2005-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,219298
ASOSAWOS_72375493027,34.518,-109.38,1745.5896,2006-01-01 00:00:00+00:00,2022-06-11 00:00:00+00:00,ASOSAWOS,163386
ASOSAWOS_72375600375,34.85,-111.783,1471.2696,2009-03-02 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,347189
ASOSAWOS_72376293244,34.607,-120.076,204.5208,2006-01-05 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,333886
ASOSAWOS_72378303195,35.946,-112.155,1993.392,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,179246
ASOSAWOS_72378853135,35.157,-114.559,211.836,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,324118
ASOSAWOS_72380523179,34.768,-114.618,270.6624,1977-02-17 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,327456
ASOSAWOS_72381523161,34.854,-116.787,584.9112,1949-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,435995
ASOSAWOS_72381603159,34.741,-118.213,712.6224,1974-06-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,414826
ASOSAWOS_72382023182,34.629,-118.083,764.7432,1973-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,335336
ASOSAWOS_72382523131,34.583,-117.383,-30479.6952,1942-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,354336
ASOSAWOS_72383023187,34.744,-118.725,1374.648,1973-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,572438
ASOSAWOS_72384023155,35.434,-119.055,149.352,1941-10-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,469991
ASOSAWOS_72386023169,36.072,-115.163,662.94,1973-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,411371
ASOSAWOS_72387003160,36.621,-116.028,984.504,1978-05-15 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,500970
ASOSAWOS_72389093193,36.78,-119.72,101.8032,1941-12-04 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,442579
ASOSAWOS_72389523149,36.029,-119.063,36.029,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,316702
ASOSAWOS_72389693144,36.317,-119.4,-30479.6952,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,318194
ASOSAWOS_72389723167,36.733,-119.817,84.1248,1995-04-23 00:00:00+00:00,1997-09-23 00:00:00+00:00,ASOSAWOS,15195
ASOSAWOS_72389853119,36.311,-119.623,75.8952,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,185651
ASOSAWOS_72390093226,35.666,-121.285,17.9832,1999-01-01 00:00:00+00:00,2005-06-07 00:00:00+00:00,ASOSAWOS,56397
